date,site,latitude,longitude,co,nox,no2,o3,so2,pm10,pm25
2017-11-03 04:00:00,Belfast Centre,54.59965,-5.928833,0.011642,7.28806,6.48816,52.5867,0.61068,,10.3
2015-03-03 05:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,25.1991,16.02484,,,2.758,
2022-01-06 19:00:00,Billingham,54.60537,-1.275039,,9.06026,8.18124,,,,
2020-09-07 18:00:00,Blackburn Accrington Road,53.747763,-2.45268,,10.80914,9.70341,,,,
2016-02-02 00:00:00,Aston Hill,52.50385,-3.034178,,0.56801,0.27668,85.15585,,,
2017-04-05 13:00:00,Birmingham A4540 Roadside,52.476145,-1.874978,,12.32319,9.48696,101.74478,,15.8,6.9
2017-09-06 02:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,24.23606,16.13414,,,,
2020-10-04 21:00:00,Birmingham Ladywood,52.481346,-1.918235,,19.38136,18.57039,85.66542,1.39601,29.075,19.387
2017-06-09 09:00:00,Ballymena Ballykeel,54.861595,-6.250873,,10.71184,7.63466,,0.54222,,
2015-07-07 20:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,,,,,,
2022-05-02 01:00:00,Armagh Roadside,54.353728,-6.654558,,10.34677,5.55769,,,9.662,
2018-02-06 15:00:00,Ballymena Ballykeel,54.861595,-6.250873,,7.90413,5.97267,,,,
2019-05-03 15:00:00,Blackburn Accrington Road,53.747763,-2.45268,,27.65928,15.16422,,,,
2022-11-12 06:00:00,Barnsley Gawber,53.56292,-1.510436,,16.66174,15.71519,27.34109,0.72055,,
2022-09-04 02:00:00,Birkenhead Borough Road,53.388624,-3.024942,,2.59211,2.03391,,,,
2022-06-09 00:00:00,Ballymena Ballykeel,54.861595,-6.250873,,,,,0.87362,,
2021-04-09 20:00:00,Belfast Centre,54.59965,-5.928833,0.127816,23.46972,21.39545,69.35058,0.94322,29.925,22.359
2023-12-03 07:00:00,Birkenhead Borough Road,53.388624,-3.024942,,10.40017,8.39894,,,,
2017-04-06 08:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,38.96528,18.87207,,,12.724,
2015-04-12 07:00:00,Billingham,54.60537,-1.275039,,26.3619,21.75756,,,,
2017-10-07 09:00:00,Blackburn Accrington Road,53.747763,-2.45268,,30.77675,13.76449,,,,
2020-06-04 12:00:00,Bath A4 Roadside,51.390922,-2.35503,,28.29802,16.19001,,,,
2022-07-10 20:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,43.48824,20.90567,,,,
2022-07-03 00:00:00,Armagh Roadside,54.353728,-6.654558,,28.70446,23.23979,,,18.358,
2015-09-05 06:00:00,Barnsley Gawber,53.56292,-1.510436,,6.92755,6.18598,61.36778,1.0291,,
2022-09-06 15:00:00,Belfast Centre,54.59965,-5.928833,0.029607,19.005,13.02946,45.60175,0.90341,10.375,7.241
